Pokémon,Dex,Icons,Shiny,Male,Female,Type 1,Type 2,Hatch Steps,Egg Group 1,Egg Group 2,Ability 1,Ability 2,Hidden Ability,Special Ability,Egg Moves,,,,,,,,,,,,,,,,Abilities,Nature,Stat Up,Stat Down,Types,Sprite,Moves,Type,Ball,Big,Sprite,Item,Sprite,Shiny,Gender,Stat,31,<31,Event Name,Event Link
Sudowoodo,185,,,♂ 50%,♀ 50%,Rock,----,"5,120",Mineral,----,Sturdy,Rock Head,Rattled,----,Curse,Defense Curl,Endure,Harden,Headbutt,Rollout,Sand Tomb,Self-Destruct,Stealth Rock,,,,,,,,Victory Star,,,,,,Baton Pass,Normal,,,,Soul Dew,,,,,,,,
Politoed,186,,,♂ 50%,♀ 50%,Water,----,"5,120",Water 1,----,Water Absorb,Damp,Drizzle,----,Encore,Endeavor,Endure,Haze,Ice Ball,Mind Reader,Mist,Refresh,Splash,Water Pulse,,,,,,,Vital Spirit,,,,,,Encore,Normal,,,,Spell Tag,,,,,,,,
Hoppip,187,,,♂ 50%,♀ 50%,Grass,Flying,"5,120",Fairy,Grass,Chlorophyll,Leaf Guard,Infiltrator,----,Amnesia,Aromatherapy,Confusion,Cotton Guard,Double-Edge,Encore,Endure,Grassy Terrain,Helping Hand,Seed Bomb,,,,,,,Volt Absorb,,,,,,Pursuit,Dark,,,,Stick,,,,,,,,
Skiploom,188,,,♂ 50%,♀ 50%,Grass,Flying,"5,120",Fairy,Grass,Chlorophyll,Leaf Guard,Infiltrator,----,Amnesia,Aromatherapy,Confusion,Cotton Guard,Double-Edge,Encore,Endure,Grassy Terrain,Helping Hand,Seed Bomb,,,,,,,Water Absorb,,,,,,Rapid Spin,Normal,,,,Sticky Barb,,,,,,,,
Jumpluff,189,,,♂ 50%,♀ 50%,Grass,Flying,"5,120",Fairy,Grass,Chlorophyll,Leaf Guard,Infiltrator,----,Amnesia,Aromatherapy,Confusion,Cotton Guard,Double-Edge,Encore,Endure,Grassy Terrain,Helping Hand,Seed Bomb,,,,,,,Water Bubble,,,,,,Sweet Scent,Normal,,,,Terrain Extender,,,,,,,,
Aipom,190,,,♂ 50%,♀ 50%,Normal,----,"5,120",Field,----,Run Away,Pickup,Skill Link,----,Beat Up,Bounce,Counter,Covet,Double Slap,Fake Out,Pursuit,Quick Guard,Revenge,Slam,Spite,Switcheroo,,,,,Water Compaction,,,,,,Iron Tail,Steel,,,,Thick Club,,,,,,,,
Sunkern,191,,,♂ 50%,♀ 50%,Grass,----,"5,120",Grass,----,Chlorophyll,Solar Power,Early Bird,----,Bide,Curse,Encore,Endure,Grassy Terrain,Helping Hand,Morning Sun,Sweet Scent,,,,,,,,,Water Veil,,,,,,Metal Claw,Steel,,,,Toxic Orb,,,,,,,,
Sunflora,192,,,♂ 50%,♀ 50%,Grass,----,"5,120",Grass,----,Chlorophyll,Solar Power,Early Bird,----,Bide,Curse,Encore,Endure,Grassy Terrain,Helping Hand,Morning Sun,Sweet Scent,,,,,,,,,Weak Armor,,,,,,Vital Throw,Fighting,,,,Twisted Spoon,,,,,,,,
Yanma,193,,,♂ 50%,♀ 50%,Bug,Flying,"5,120",Bug,----,Speed Boost,Compound Eyes,Frisk,----,Double-Edge,Feint Attack,Reversal,Secret Power,Signal Beam,Silver Wind,Whirlwind,,,,,,,,,,White Smoke,,,,,,Morning Sun,Normal,,,,Weakness Policy,,,,,,,,
Wooper,194,,,♂ 50%,♀ 50%,Water,Ground,"5,120",Water 1,Field,Damp,Water Absorb,Unaware,----,Acid Spray,After You,Ancient Power,Body Slam,Counter,Curse,Double Kick,Eerie Impulse,Encore,Guard Swap,Recover,Spit Up,Stockpile,Swallow,,,Wimp Out,,,,,,Synthesis,Grass,,,,White Herb,,,,,,,,
Quagsire,195,,,♂ 50%,♀ 50%,Water,Ground,"5,120",Water 1,Field,Damp,Water Absorb,Unaware,----,Acid Spray,After You,Ancient Power,Body Slam,Counter,Curse,Double Kick,Eerie Impulse,Encore,Guard Swap,Recover,Spit Up,Stockpile,Swallow,,,Wonder Guard,,,,,,Moonlight,Fairy,,,,Wide Lens,,,,,,,,
Espeon,196,,,♂ 88.1%,♀ 11.9%,Psychic,----,"8,960",Field,----,Synchronize,----,Magic Bounce,----,Captivate,Curse,Detect,Endure,Fake Tears,Flail,Natural Gift,Stored Power,Synchronoise,Tickle,Wish,Yawn,,,,,Wonder Skin,,,,,,Hidden Power,Normal,,,,Wise Glasses,,,,,,,,
Umbreon,197,,,♂ 88.1%,♀ 11.9%,Dark,----,"8,960",Field,----,Synchronize,----,Inner Focus,----,Captivate,Curse,Detect,Endure,Fake Tears,Flail,Natural Gift,Stored Power,Synchronoise,Tickle,Wish,Yawn,,,,,Zen Mode,,,,,,Cross Chop,Fighting,,,,Zoom Lens,,,,,,,,
Murkrow,198,,,♂ 50%,♀ 50%,Dark,Flying,"5,120",Flying,----,Insomnia,Super Luck,Prankster,----,Brave Bird,Confuse Ray,Drill Peck,Feather Dance,Flatter,Mirror Move,Perish Song,Psycho Shift,Screech,Sky Attack,Whirlwind,,,,,,Dauntless Shield,,,,,,Twister,Dragon,,,,Full Incense,,,,,,,,
Slowking,199,,,♂ 50%,♀ 50%,Water,Psychic,"5,120",Monster,Water 1,Oblivious,Own Tempo,Regenerator,----,Belch,Belly Drum,Block,Future Sight,Me First,Mud Sport,Snore,Stomp,Wonder Room,,,,,,,,Intrepid Sword,,,,,,Rain Dance,Water,,,,Lax Incense,,,,,,,,
Misdreavus,200,,,♂ 50%,♀ 50%,Ghost,----,"6,240",Amorphous,----,Levitate,----,----,----,Curse,Destiny Bond,Imprison,Me First,Memento,Nasty Plot,Ominous Wind,Screech,Shadow Sneak,Skill Swap,Sucker Punch,Wonder Room,,,,,,,,,,,Sunny Day,Fire,,,,Luck Incense,,,,,,,,
Unown A,201,,,○,○,Psychic,----,"10,240",Undiscovered,----,Levitate,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Crunch,Dark,,,,Odd Incense,,,,,,,,
Unown B,201,,,○,○,Psychic,----,"10,240",Undiscovered,----,Levitate,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Mirror Coat,Psychic,,,,Pure Incense,,,,,,,,
Unown C,201,,,○,○,Psychic,----,"10,240",Undiscovered,----,Levitate,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Psych Up,Normal,,,,Rock Incense,,,,,,,,
Unown D,201,,,○,○,Psychic,----,"10,240",Undiscovered,----,Levitate,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Extreme Speed,Normal,,,,Rose Incense,,,,,,,,
Unown E,201,,,○,○,Psychic,----,"10,240",Undiscovered,----,Levitate,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Ancient Power,Rock,,,,Sea Incense,,,,,,,,
Unown F,201,,,○,○,Psychic,----,"10,240",Undiscovered,----,Levitate,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Shadow Ball,Ghost,,,,Wave Incense,,,,,,,,
Unown G,201,,,○,○,Psychic,----,"10,240",Undiscovered,----,Levitate,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Future Sight,Psychic,,,,Ability Capsule,,,,,,,,
Unown H,201,,,○,○,Psychic,----,"10,240",Undiscovered,----,Levitate,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Rock Smash,Fighting,,,,Antidote,,,,,,,,
Unown I,201,,,○,○,Psychic,----,"10,240",Undiscovered,----,Levitate,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Whirlpool,Water,,,,Awakening,,,,,,,,
Unown J,201,,,○,○,Psychic,----,"10,240",Undiscovered,----,Levitate,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Beat Up,Dark,,,,Berry Juice,,,,,,,,
Unown K,201,,,○,○,Psychic,----,"10,240",Undiscovered,----,Levitate,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Fake Out,Normal,,,,Big Malasada,,,,,,,,
Unown L,201,,,○,○,Psychic,----,"10,240",Undiscovered,----,Levitate,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Uproar,Normal,,,,Burn Heal,,,,,,,,
Unown M,201,,,○,○,Psychic,----,"10,240",Undiscovered,----,Levitate,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Stockpile,Normal,,,,Calcium,,,,,,,,
Unown N,201,,,○,○,Psychic,----,"10,240",Undiscovered,----,Levitate,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Spit Up,Normal,,,,Carbos,,,,,,,,
Unown O,201,,,○,○,Psychic,----,"10,240",Undiscovered,----,Levitate,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Swallow,Normal,,,,Casteliacone,,,,,,,,
Unown P,201,,,○,○,Psychic,----,"10,240",Undiscovered,----,Levitate,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Heat Wave,Fire,,,,Clever Wing,,,,,,,,
Unown Q,201,,,○,○,Psychic,----,"10,240",Undiscovered,----,Levitate,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Hail,Ice,,,,Elixir,,,,,,,,
Unown R,201,,,○,○,Psychic,----,"10,240",Undiscovered,----,Levitate,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Torment,Dark,,,,Energy Powder,,,,,,,,
Unown S,201,,,○,○,Psychic,----,"10,240",Undiscovered,----,Levitate,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Flatter,Dark,,,,Energy Root,,,,,,,,
Unown T,201,,,○,○,Psychic,----,"10,240",Undiscovered,----,Levitate,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Will-O-Wisp,Fire,,,,Ether,,,,,,,,
Unown U,201,,,○,○,Psychic,----,"10,240",Undiscovered,----,Levitate,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Memento,Dark,,,,Fresh Water,,,,,,,,
Unown V,201,,,○,○,Psychic,----,"10,240",Undiscovered,----,Levitate,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Facade,Normal,,,,Full Heal,,,,,,,,
Unown W,201,,,○,○,Psychic,----,"10,240",Undiscovered,----,Levitate,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Focus Punch,Fighting,,,,Full Restore,,,,,,,,
Unown X,201,,,○,○,Psychic,----,"10,240",Undiscovered,----,Levitate,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Smelling Salts,Normal,,,,Genius Wing,,,,,,,,
Unown Y,201,,,○,○,Psychic,----,"10,240",Undiscovered,----,Levitate,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Follow Me,Normal,,,,Heal Powder,,,,,,,,
Unown Z,201,,,○,○,Psychic,----,"10,240",Undiscovered,----,Levitate,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Nature Power,Normal,,,,Health Wing,,,,,,,,
Unown !,201,,,○,○,Psychic,----,"10,240",Undiscovered,----,Levitate,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Charge,Electric,,,,Hp Up,,,,,,,,
Unown ?,201,,,○,○,Psychic,----,"10,240",Undiscovered,----,Levitate,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Taunt,Dark,,,,Hyper Potion,,,,,,,,
Wobbuffet,202,,,♂ 50%,♀ 50%,Psychic,----,"5,120",Amorphous,----,Shadow Tag,----,Telepathy,----,,,,,,,,,,,,,,,,,,,,,,,Helping Hand,Normal,,,,Ice Heal,,,,,,,,
Girafarig,203,,,♂ 50%,♀ 50%,Normal,Psychic,"5,120",Field,----,Inner Focus,Early Bird,Sap Sipper,----,Amnesia,Beat Up,Double Kick,Foresight,Future Sight,Magic Coat,Mean Look,Mirror Coat,Razor Wind,Secret Power,Skill Swap,Take Down,Wish,,,,,,,,,,Trick,Psychic,,,,Iron,,,,,,,,
Pineco,204,,,♂ 50%,♀ 50%,Bug,----,"5,120",Bug,----,Sturdy,----,Overcoat,----,Counter,Endure,Flail,Pin Missile,Power Trick,Revenge,Sand Tomb,Stealth Rock,Swift,,,,,,,,,,,,,,Role Play,Psychic,,,,Lava Cookie,,,,,,,,
Forretress,205,,,♂ 50%,♀ 50%,Bug,Steel,"5,120",Bug,----,Sturdy,----,Overcoat,----,Counter,Endure,Flail,Pin Missile,Power Trick,Revenge,Sand Tomb,Stealth Rock,Swift,,,,,,,,,,,,,,Wish,Normal,,,,Lemonade,,,,,,,,
Dunsparce,206,,,♂ 50%,♀ 50%,Normal,----,"5,120",Field,----,Serene Grace,Run Away,Rattled,----,Agility,Astonish,Bide,Bite,Curse,Headbutt,Hex,Magic Coat,Secret Power,Snore,Trump Card,,,,,,,,,,,,Assist,Normal,,,,Lumiose Galette,,,,,,,,
Gligar,207,,,♂ 50%,♀ 50%,Ground,Flying,"5,120",Bug,----,Hyper Cutter,Sand Veil,Immunity,----,Agility,Baton Pass,Counter,Cross Poison,Double-Edge,Feint,Metal Claw,Poison Tail,Power Trick,Razor Wind,Rock Climb,Sand Tomb,Wing Attack,,,,,,,,,,Ingrain,Grass,,,,Max Elixir,,,,,,,,
Steelix,208,,,♂ 50%,♀ 50%,Steel,Ground,"5,120",Mineral,----,Rock Head,Sturdy,Sheer Force,----,Block,Defense Curl,Flail,Heavy Slam,Rock Blast,Rock Climb,Rollout,Rototiller,,,,,,,,,,,,,,,Superpower,Fighting,,,,Max Ether,,,,,,,,
Mega Steelix,208,,,♂ 50%,♀ 50%,Steel,Ground,"5,120",Mineral,----,Sand Force,----,----,----,Block,Defense Curl,Flail,Heavy Slam,Rock Blast,Rock Climb,Rollout,Rototiller,,,,,,,,,,,,,,,Magic Coat,Psychic,,,,Max Potion,,,,,,,,
Snubbull,209,,,♂ 25%,♀ 75%,Fairy,----,"5,120",Field,Fairy,Intimidate,Run Away,Rattled,----,Close Combat,Double-Edge,Fake Tears,Feint Attack,Focus Punch,Heal Bell,Metronome,Mimic,Present,Smelling Salts,Snore,,,,,,,,,,,,Recycle,Normal,,,,Max Revive,,,,,,,,
Granbull,210,,,♂ 25%,♀ 75%,Fairy,----,"5,120",Field,Fairy,Intimidate,Quick Feet,Rattled,----,Close Combat,Double-Edge,Fake Tears,Feint Attack,Focus Punch,Heal Bell,Metronome,Mimic,Present,Smelling Salts,Snore,,,,,,,,,,,,Revenge,Fighting,,,,Moomoo Milk,,,,,,,,
Qwilfish,211,,,♂ 50%,♀ 50%,Water,Poison,"5,120",Water 2,----,Poison Point,Swift Swim,Intimidate,----,Acid Spray,Aqua Jet,Astonish,Bubble Beam,Flail,Haze,Signal Beam,Supersonic,Water Pulse,,,,,,,,,,,,,,Brick Break,Fighting,,,,Muscle Wing,,,,,,,,
Scizor,212,,,♂ 50%,♀ 50%,Bug,Steel,"6,240",Bug,----,Swarm,Technician,Light Metal,----,Baton Pass,Bug Buzz,Counter,Defog,Endure,Quick Guard,Reversal,Silver Wind,,,,,,,,,,,,,,,Yawn,Normal,,,,Old Gateau,,,,,,,,
Mega Scizor,212,,,♂ 50%,♀ 50%,Bug,Steel,"6,240",Bug,----,Technician,----,----,----,Baton Pass,Bug Buzz,Counter,Defog,Endure,Quick Guard,Reversal,Silver Wind,,,,,,,,,,,,,,,Knock Off,Dark,,,,Paralyze Heal,,,,,,,,
Shuckle,213,,,♂ 50%,♀ 50%,Bug,Rock,"5,120",Bug,----,Sturdy,Gluttony,Contrary,----,Acid,Acupressure,Final Gambit,Helping Hand,Knock Off,Mud-Slap,Rock Blast,Sand Tomb,Sweet Scent,,,,,,,,,,,,,,Endeavor,Normal,,,,Potion,,,,,,,,
Heracross,214,,,♂ 50%,♀ 50%,Bug,Fighting,"6,240",Bug,----,Swarm,Guts,Moxie,----,Bide,Double-Edge,Flail,Focus Punch,Harden,Pursuit,Revenge,Rock Blast,Seismic Toss,,,,,,,,,,,,,,Eruption,Fire,,,,Pp Max,,,,,,,,
Mega Heracross,214,,,♂ 50%,♀ 50%,Bug,Fighting,"6,240",Bug,----,Skill Link,----,----,----,Bide,Double-Edge,Flail,Focus Punch,Harden,Pursuit,Revenge,Rock Blast,Seismic Toss,,,,,,,,,,,,,,Skill Swap,Psychic,,,,Pp Up,,,,,,,,
Sneasel,215,,,♂ 50%,♀ 50%,Dark,Ice,"5,120",Field,----,Inner Focus,Keen Eye,Pickpocket,----,Assist,Avalanche,Bite,Counter,Crush Claw,Double Hit,Fake Out,Feint,Foresight,Ice Punch,Icicle Crash,Pursuit,Spite,Throat Chop,,,,,,,,,Imprison,Psychic,,,,Protein,,,,,,,,
Teddiursa,216,,,♂ 50%,♀ 50%,Normal,----,"5,120",Field,----,Pickup,Quick Feet,Honey Gather,----,Belly Drum,Chip Away,Close Combat,Counter,Cross Chop,Crunch,Double-Edge,Metal Claw,Night Slash,Play Rough,Seismic Toss,Take Down,Yawn,,,,,,,,,,Refresh,Normal,,,,Rage Candy Bar,,,,,,,,
Ursaring,217,,,♂ 50%,♀ 50%,Normal,----,"5,120",Field,----,Guts,Quick Feet,Unnerve,----,Belly Drum,Chip Away,Close Combat,Counter,Cross Chop,Crunch,Double-Edge,Metal Claw,Night Slash,Play Rough,Seismic Toss,Take Down,Yawn,,,,,,,,,,Grudge,Ghost,,,,Rare Candy,,,,,,,,
Slugma,218,,,♂ 50%,♀ 50%,Fire,----,"5,120",Amorphous,----,Magma Armor,Flame Body,Weak Armor,----,Acid Armor,Curse,Guard Swap,Heat Wave,Inferno,Memento,Rollout,Smokescreen,Spit Up,Stockpile,Swallow,,,,,,,,,,,,Snatch,Dark,,,,Resist Wing,,,,,,,,
Magcargo,219,,,♂ 50%,♀ 50%,Fire,Rock,"5,120",Amorphous,----,Magma Armor,Flame Body,Weak Armor,----,Acid Armor,Curse,Guard Swap,Heat Wave,Inferno,Memento,Rollout,Smokescreen,Spit Up,Stockpile,Swallow,,,,,,,,,,,,Secret Power,Normal,,,,Revival Herb,,,,,,,,
Swinub,220,,,♂ 50%,♀ 50%,Ice,Ground,"5,120",Field,----,Oblivious,Snow Cloak,Thick Fat,----,Avalanche,Bite,Body Slam,Curse,Double-Edge,Fissure,Freeze-Dry,Icicle Crash,Icicle Spear,Mud Shot,Mud Shot,Stealth Rock,,,,,,,,,,,Dive,Water,,,,,,,,,,,,
Piloswine,221,,,♂ 50%,♀ 50%,Ice,Ground,"5,120",Field,----,Oblivious,Snow Cloak,Thick Fat,----,Avalanche,Bite,Body Slam,Curse,Double-Edge,Fissure,Freeze-Dry,Icicle Crash,Icicle Spear,Mud Shot,Mud Shot,Stealth Rock,,,,,,,,,,,Arm Thrust,Fighting,,,,Revive,,,,,,,,
Corsola,222,,,♂ 25%,♀ 75%,Water,Rock,"5,120",Water 1,Water 3,Hustle,Natural Cure,Regenerator,----,Amnesia,Barrier,Bide,Camouflage,Confuse Ray,Curse,Head Smash,Icicle Spear,Ingrain,Liquidation,Mist,Screech,Water Pulse,,,,,,,,,,Camouflage,Normal,,,,Sacred Ash,,,,,,,,
Corsola-Galar,222,,,♂ 25%,♀ 75%,Ghost,----,"5,120",Water 1,Water 3,Weak Armor,----,Cursed Body,----,Haze,Confuse Ray,Nature Power,Destiny Bond,Water Pulse,Head Smash,,,,,,,,,,,,,,,,,Tail Glow,Bug,,,,Shalour Sable,,,,,,,,
Remoraid,223,,,♂ 50%,♀ 50%,Water,----,"5,120",Water 1,Water 2,Hustle,Sniper,Moody,----,Acid Spray,Entrainment,Flail,Haze,Mud Shot,Screech,Snore,Supersonic,Swift,Water Spout,,,,,,,,,,,,,Luster Purge,Psychic,,,,Soda Pop,,,,,,,,
Octillery,224,,,♂ 50%,♀ 50%,Water,----,"5,120",Water 1,Water 2,Suction Cups,Sniper,Moody,----,Acid Spray,Entrainment,Flail,Haze,Mud Shot,Screech,Snore,Supersonic,Swift,Water Spout,,,,,,,,,,,,,Mist Ball,Psychic,,,,Super Potion,,,,,,,,
Delibird,225,,,♂ 50%,♀ 50%,Ice,Flying,"5,120",Water 1,Field,Vital Spirit,Hustle,Insomnia,----,Aurora Beam,Bestow,Destiny Bond,Fake Out,Freeze-Dry,Future Sight,Ice Ball,Ice Punch,Ice Shard,Icy Wind,Quick Attack,Rapid Spin,Spikes,Splash,,,,,,,,,Feather Dance,Flying,,,,Sweet Heart,,,,,,,,
Mantine,226,,,♂ 50%,♀ 50%,Water,Flying,"6,240",Water 1,----,Swift Swim,Water Absorb,Water Veil,----,Amnesia,Haze,Mirror Coat,Mud Sport,Slam,Splash,Twister,Water Sport,,,,,,,,,,,,,,,Teeter Dance,Normal,,,,Swift Wing,,,,,,,,
Skarmory,227,,,♂ 50%,♀ 50%,Steel,Flying,"6,240",Flying,----,Keen Eye,Sturdy,Weak Armor,----,Assurance,Brave Bird,Curse,Drill Peck,Endure,Guard Swap,Pursuit,Sky Attack,Stealth Rock,Whirlwind,,,,,,,,,,,,,Blaze Kick,Fire,,,,Zinc,,,,,,,,
Houndour,228,,,♂ 50%,♀ 50%,Dark,Fire,"5,120",Field,----,Early Bird,Flash Fire,Unnerve,----,Counter,Destiny Bond,Feint,Fire Spin,Punishment,Pursuit,Rage,Reversal,Spite,Sucker Punch,,,,,,,,,,,,,Mud Sport,Ground,,,,Abomasite,,,,,,,,
Houndoom,229,,,♂ 50%,♀ 50%,Dark,Fire,"5,120",Field,----,Early Bird,Flash Fire,Unnerve,----,Counter,Destiny Bond,Feint,Fire Spin,Punishment,Pursuit,Rage,Reversal,Spite,Sucker Punch,,,,,,,,,,,,,Ice Ball,Ice,,,,Absolite,,,,,,,,
Mega Houndoom,229,,,♂ 50%,♀ 50%,Dark,Fire,"5,120",Field,----,Solar Power,----,----,----,Counter,Destiny Bond,Feint,Fire Spin,Punishment,Pursuit,Rage,Reversal,Spite,Sucker Punch,,,,,,,,,,,,,Needle Arm,Grass,,,,Aerodactylite,,,,,,,,
Kingdra,230,,,♂ 50%,♀ 50%,Water,Dragon,"5,120",Water 1,Dragon,Swift Swim,Sniper,Damp,----,Aurora Beam,Clear Smog,Disable,Dragon Breath,Dragon Rage,Flail,Muddy Water,Octazooka,Outrage,Razor Wind,Signal Beam,Splash,Water Pulse,,,,,,,,,,Slack Off,Normal,,,,Aggronite,,,,,,,,
Phanpy,231,,,♂ 50%,♀ 50%,Ground,----,"5,120",Field,----,Pickup,----,Sand Veil,----,Ancient Power,Body Slam,Counter,Endeavor,Fissure,Focus Energy,Head Smash,Heavy Slam,Ice Shard,Mud-Slap,Play Rough,Snore,,,,,,,,,,,Hyper Voice,Normal,,,,Alakazite,,,,,,,,
Donphan,232,,,♂ 50%,♀ 50%,Ground,----,"5,120",Field,----,Sturdy,----,Sand Veil,----,Ancient Power,Body Slam,Counter,Endeavor,Fissure,Focus Energy,Head Smash,Heavy Slam,Ice Shard,Mud-Slap,Play Rough,Snore,,,,,,,,,,,Poison Fang,Poison,,,,Altarianite,,,,,,,,
Porygon2,233,,,○,○,Normal,----,"5,120",Mineral,----,Trace,Download,Analytic,----,,,,,,,,,,,,,,,,,,,,,,,Crush Claw,Normal,,,,Ampharosite,,,,,,,,
Stantler,234,,,♂ 50%,♀ 50%,Normal,----,"5,120",Field,----,Intimidate,Frisk,Sap Sipper,----,Bite,Disable,Double Kick,Extrasensory,Megahorn,Mud Sport,Rage,Spite,Thrash,,,,,,,,,,,,,,Blast Burn,Fire,,,,Audinite,,,,,,,,
Smeargle,235,,,♂ 50%,♀ 50%,Normal,----,"5,120",Field,----,Own Tempo,Technician,Moody,----,,,,,,,,,,,,,,,,,,,,,,,Hydro Cannon,Water,,,,Banettite,,,,,,,,
Tyrogue,236,,,♂ 100%,♀ 0%,Fighting,----,"6,240",Undiscovered,----,Guts,Steadfast,Vital Spirit,----,Bullet Punch,Counter,Endure,High Jump Kick,Mach Punch,Mind Reader,Pursuit,Rapid Spin,Vacuum Wave,,,,,,,,,,,,,,Meteor Mash,Steel,,,,Beedrillite,,,,,,,,
Hitmontop,237,,,♂ 100%,♀ 0%,Fighting,----,"6,240",Human-Like,----,Intimidate,Technician,Steadfast,----,Bullet Punch,Counter,Endure,High Jump Kick,Mach Punch,Mind Reader,Pursuit,Rapid Spin,Vacuum Wave,,,,,,,,,,,,,,Astonish,Ghost,,,,Blastoisinite,,,,,,,,
Smoochum,238,,,♂ 0%,♀ 100%,Ice,Psychic,"6,240",Undiscovered,----,Oblivious,Forewarn,Hydration,----,Captivate,Fake Out,Meditate,Miracle Eye,Nasty Plot,Wish,,,,,,,,,,,,,,,,,Weather Ball,Normal,,,,Blazikenite,,,,,,,,
Elekid,239,,,♂ 75%,♀ 25%,Electric,----,"6,240",Undiscovered,----,Static,----,Vital Spirit,----,Barrier,Cross Chop,Dynamic Punch,Feint,Focus Punch,Hammer Arm,Ice Punch,Karate Chop,Meditate,Rolling Kick,,,,,,,,,,,,,Aromatherapy,Grass,,,,Cameruptite,,,,,,,,
Magby,240,,,♂ 75%,♀ 25%,Fire,----,"6,240",Undiscovered,----,Flame Body,----,Vital Spirit,----,Barrier,Belch,Belly Drum,Cross Chop,Dynamic Punch,Flare Blitz,Focus Energy,Iron Tail,Karate Chop,Mach Punch,Mega Punch,Power Swap,Screech,,,,,,,,,,Fake Tears,Dark,,,,Charizardite X,,,,,,,,
Miltank,241,,,♂ 0%,♀ 100%,Normal,----,"5,120",Field,----,Thick Fat,Scrappy,Sap Sipper,----,Belch,Curse,Dizzy Punch,Double-Edge,Endure,Hammer Arm,Heart Stamp,Helping Hand,Natural Gift,Present,Punishment,Reversal,Seismic Toss,,,,,,,,,,Air Cutter,Flying,,,,Charizardite Y,,,,,,,,
Blissey,242,,,♂ 0%,♀ 100%,Normal,----,"10,240",Fairy,----,Natural Cure,Serene Grace,Healer,----,Aromatherapy,Counter,Endure,Gravity,Heal Bell,Helping Hand,Metronome,Mud Bomb,Natural Gift,Present,Seismic Toss,,,,,,,,,,,,Overheat,Fire,,,,Diancite,,,,,,,,
Raikou,243,,,○,○,Electric,----,"20,480",Undiscovered,----,Pressure,----,Inner Focus,----,,,,,,,,,,,,,,,,,,,,,,,Odor Sleuth,Normal,,,,Galladite,,,,,,,,
Entei,244,,,○,○,Fire,----,"20,480",Undiscovered,----,Pressure,----,Inner Focus,----,,,,,,,,,,,,,,,,,,,,,,,Rock Tomb,Rock,,,,Garchompite,,,,,,,,
Suicune,245,,,○,○,Water,----,"20,480",Undiscovered,----,Pressure,----,Inner Focus,----,,,,,,,,,,,,,,,,,,,,,,,Silver Wind,Bug,,,,Gardevoirite,,,,,,,,
Larvitar,246,,,♂ 50%,♀ 50%,Rock,Ground,"10,240",Monster,----,Guts,----,Sand Veil,----,Ancient Power,Assurance,Curse,Dragon Dance,Focus Energy,Iron Defense,Iron Head,Iron Tail,Outrage,Pursuit,Stealth Rock,Stomp,,,,,,,,,,,Metal Sound,Steel,,,,Gengarite,,,,,,,,
Pupitar,247,,,♂ 50%,♀ 50%,Rock,Ground,"10,240",Monster,----,Shed Skin,----,----,----,Ancient Power,Assurance,Curse,Dragon Dance,Focus Energy,Iron Defense,Iron Head,Iron Tail,Outrage,Pursuit,Stealth Rock,Stomp,,,,,,,,,,,Grass Whistle,Grass,,,,Glalite,,,,,,,,
Tyranitar,248,,,♂ 50%,♀ 50%,Rock,Dark,"10,240",Monster,----,Sand Stream,----,Unnerve,----,Ancient Power,Assurance,Curse,Dragon Dance,Focus Energy,Iron Defense,Iron Head,Iron Tail,Outrage,Pursuit,Stealth Rock,Stomp,,,,,,,,,,,Tickle,Normal,,,,Gyaradosite,,,,,,,,
Mega Tyranitar,248,,,♂ 50%,♀ 50%,Rock,Dark,"10,240",Monster,----,Sand Stream,----,----,----,Ancient Power,Assurance,Curse,Dragon Dance,Focus Energy,Iron Defense,Iron Head,Iron Tail,Outrage,Pursuit,Stealth Rock,Stomp,,,,,,,,,,,Cosmic Power,Psychic,,,,Heracronite,,,,,,,,
